timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1745250065962,10,Get characters,200,OK,Thread Group 1-2,text,true,,928,158,2,2,http://localhost:3001/characters,10,0,2
1745250065953,19,Get characters,200,OK,Thread Group 1-1,text,true,,928,158,2,2,http://localhost:3001/characters,19,0,11
1745250065972,2,Create,201,Created,Thread Group 1-1,text,true,,280,224,2,2,http://localhost:3001/character,2,0,0
1745250065972,2,Create,201,Created,Thread Group 1-2,text,true,,280,224,2,2,http://localhost:3001/character,2,0,0
1745250065975,2,get by ID,200,OK,Thread Group 1-1,text,true,,275,160,3,3,http://localhost:3001/character/19,2,0,0
1745250065975,3,get by ID,200,OK,Thread Group 1-2,text,true,,275,160,3,3,http://localhost:3001/character/20,3,0,0
1745250065977,6,Update,200,OK,Thread Group 1-1,text,true,,275,226,4,4,http://localhost:3001/character/19,6,0,0
1745250065978,6,Update,200,OK,Thread Group 1-2,text,true,,275,226,4,4,http://localhost:3001/character/20,6,0,0
1745250065977,9,Get characters,200,OK,Thread Group 1-3,text,true,,1010,158,4,4,http://localhost:3001/characters,9,0,1
1745250065984,2,Delete,200,OK,Thread Group 1-1,text,true,,293,182,4,4,http://localhost:3001/character/19,2,0,0
1745250065984,3,Delete,200,OK,Thread Group 1-2,text,true,,293,182,3,3,http://localhost:3001/character/20,3,0,0
1745250065981,8,Get characters,200,OK,Thread Group 1-4,text,true,,928,158,3,3,http://localhost:3001/characters,8,0,1
1745250065986,6,Create,201,Created,Thread Group 1-3,text,true,,280,224,3,3,http://localhost:3001/character,6,0,0
1745250065989,3,Create,201,Created,Thread Group 1-4,text,true,,280,224,3,3,http://localhost:3001/character,3,0,0
1745250065992,2,get by ID,200,OK,Thread Group 1-4,text,true,,275,160,3,3,http://localhost:3001/character/19,2,0,0
1745250065989,6,Get characters,200,OK,Thread Group 1-5,text,true,,1010,158,3,3,http://localhost:3001/characters,6,0,0
1745250065992,3,get by ID,200,OK,Thread Group 1-3,text,true,,275,160,3,3,http://localhost:3001/character/20,3,0,0
1745250065995,2,Update,200,OK,Thread Group 1-4,text,true,,275,226,3,3,http://localhost:3001/character/19,2,0,0
1745250065995,5,Create,201,Created,Thread Group 1-5,text,true,,280,224,4,4,http://localhost:3001/character,5,0,0
1745250065995,6,Update,200,OK,Thread Group 1-3,text,true,,275,226,4,4,http://localhost:3001/character/20,6,0,0
1745250065997,4,Delete,200,OK,Thread Group 1-4,text,true,,293,182,4,4,http://localhost:3001/character/19,4,0,0
1745250066001,4,Delete,200,OK,Thread Group 1-3,text,true,,293,182,3,3,http://localhost:3001/character/20,4,0,0
1745250066001,4,get by ID,200,OK,Thread Group 1-5,text,true,,275,160,3,3,http://localhost:3001/character/21,4,0,0
1745250065999,8,Get characters,200,OK,Thread Group 1-6,text,true,,969,158,2,2,http://localhost:3001/characters,8,0,1
1745250066007,5,Create,201,Created,Thread Group 1-6,text,true,,280,224,3,3,http://localhost:3001/character,5,0,0
1745250066005,9,Update,200,OK,Thread Group 1-5,text,true,,275,226,3,3,http://localhost:3001/character/21,9,0,0
1745250066010,5,Get characters,200,OK,Thread Group 1-7,text,true,,1010,158,3,3,http://localhost:3001/characters,5,0,0
1745250066013,3,get by ID,200,OK,Thread Group 1-6,text,true,,275,160,3,3,http://localhost:3001/character/20,3,0,0
1745250066014,3,Delete,200,OK,Thread Group 1-5,text,true,,293,182,3,3,http://localhost:3001/character/21,3,0,0
1745250066015,6,Create,201,Created,Thread Group 1-7,text,true,,280,224,3,3,http://localhost:3001/character,6,0,0
1745250066016,6,Update,200,OK,Thread Group 1-6,text,true,,275,226,3,3,http://localhost:3001/character/20,6,0,0
1745250066022,2,get by ID,200,OK,Thread Group 1-7,text,true,,275,160,3,3,http://localhost:3001/character/20,2,0,0
1745250066022,2,Delete,200,OK,Thread Group 1-6,text,true,,293,182,3,3,http://localhost:3001/character/20,2,0,0
1745250066020,5,Get characters,200,OK,Thread Group 1-8,text,true,,969,158,3,3,http://localhost:3001/characters,5,0,0
1745250066025,10,Create,201,Created,Thread Group 1-8,text,true,,280,224,3,3,http://localhost:3001/character,10,0,0
1745250066024,13,Update,200,OK,Thread Group 1-7,text,true,,275,226,3,3,http://localhost:3001/character/20,13,0,0
1745250066037,4,Delete,200,OK,Thread Group 1-7,text,true,,293,182,4,4,http://localhost:3001/character/20,4,0,0
1745250066027,14,Get characters,200,OK,Thread Group 1-9,text,true,,1010,158,4,4,http://localhost:3001/characters,14,0,1
1745250066036,6,get by ID,200,OK,Thread Group 1-8,text,true,,275,160,3,3,http://localhost:3001/character/20,6,0,0
1745250066042,3,Update,200,OK,Thread Group 1-8,text,true,,275,226,3,3,http://localhost:3001/character/20,3,0,0
1745250066041,4,Create,201,Created,Thread Group 1-9,text,true,,280,224,3,3,http://localhost:3001/character,4,0,0
1745250066040,7,Get characters,200,OK,Thread Group 1-10,text,true,,1010,158,3,3,http://localhost:3001/characters,7,0,1
1745250066046,2,get by ID,200,OK,Thread Group 1-9,text,true,,275,160,3,3,http://localhost:3001/character/20,2,0,0
1745250066045,3,Delete,200,OK,Thread Group 1-8,text,true,,293,182,3,3,http://localhost:3001/character/20,3,0,0
1745250066048,6,Update,200,OK,Thread Group 1-9,text,true,,275,226,3,3,http://localhost:3001/character/20,6,0,0
1745250066048,9,Create,201,Created,Thread Group 1-10,text,true,,280,224,3,3,http://localhost:3001/character,9,0,0
1745250066054,7,Delete,200,OK,Thread Group 1-9,text,true,,293,182,4,4,http://localhost:3001/character/20,7,0,0
1745250066050,15,Get characters,200,OK,Thread Group 1-11,text,true,,969,158,3,3,http://localhost:3001/characters,15,0,1
1745250066057,9,get by ID,200,OK,Thread Group 1-10,text,true,,275,160,3,3,http://localhost:3001/character/20,9,0,0
1745250066060,8,Get characters,200,OK,Thread Group 1-12,text,true,,969,158,3,3,http://localhost:3001/characters,8,0,1
1745250066065,3,Create,201,Created,Thread Group 1-11,text,true,,280,224,3,3,http://localhost:3001/character,3,0,0
